id,first_name,last_name,gender,behaviour_rating,Count_of_nasty_incidents,Nice
50,Shalom,Draayer,Male,0.65,Weekly,0
51,Lexy,Rodda,Female,0.78,Seldom,0
52,Netty,Esh,Female,0.68,Monthly,0
53,Tyne,Neilands,Female,-0.47,Never,0
54,Webster,Abbis,Male,0.39,Often,0
55,Burgess,Haysey,Male,-0.16,Seldom,0
56,Chevy,O'Geaney,Male,1.29,Weekly,0
57,Cicely,Beagles,Female,1.4,Monthly,0
58,Dawn,Simmonds,Female,0.28,Never,0
59,Ermentrude,Sare,Female,0.81,Once,0
60,Merralee,Killelea,Female,1.29,Yearly,0
61,Orland,Wilfinger,Male,0.97,Daily,0
62,Doralynn,Hughill,Female,-0.7,Yearly,1
63,Caressa,Berrow,Female,1.36,Monthly,0
64,Lucas,Mithan,Male,-1.1,Seldom,1
65,Ronnie,Silverthorne,Male,0.31,Once,0
66,Channa,Crady,Female,0.59,Weekly,0
67,Philippa,Beazley,Female,0.71,Daily,0
68,Flem,Pluck,Male,-0.46,Monthly,0
69,Lila,Matteo,Female,0.71,Never,0
70,Jordan,Rosendahl,Male,-0.04,Monthly,0
71,Tamra,Foskett,Female,0.37,Never,1
72,Jandy,Kerford,Female,-0.6,Monthly,0
73,Dani,Cuss,Male,0.96,Never,0
74,Yolanda,Rothert,Female,0.06,Often,1
75,Ivory,Sibun,Female,-0.19,Monthly,1
76,Virge,Sidden,Male,0.51,Never,0
77,Lilly,Kaplan,Female,0.8,Daily,0
78,Delila,Boman,Female,0.82,Weekly,0
79,Cassandra,Cheesman,Female,0.84,Monthly,0
80,Garwin,Faughny,Male,0.3,Monthly,1
81,Gordon,McOwen,Male,-0.57,Daily,0
82,Vally,Daysh,Female,0.43,Seldom,1
83,Carly,Ferran,Female,-0.69,Yearly,0
84,Marcella,Sphinxe,Female,1.07,Yearly,1
85,Rhea,Norkett,Female,0.5,Seldom,1
86,Cindra,Gordon,Female,0.72,Weekly,1
87,Melantha,Gowthorpe,Female,-0.18,Seldom,1
88,Stefano,Wansbury,Male,1.3,Never,0
89,Nathalia,Rumgay,Female,0.02,Often,0
90,Jessica,Lindenstrauss,Female,0.53,Yearly,0
91,Sabine,Mowett,Female,-0.54,Often,0
92,Colman,Mottershead,Male,0.27,Monthly,1
93,Dorena,Kevlin,Female,0.6,Once,0
94,Dolorita,Havvock,Female,-0.1,Yearly,0
95,Walker,Grishanov,Male,0.27,Once,0
96,Amaleta,Normanton,Female,0.93,Seldom,0
97,Rouvin,Sara,Male,0.33,Monthly,0
98,Brenda,La Torre,Female,-0.01,Monthly,1
99,Wildon,Davion,Male,-0.35,Seldom,1
100,Almeria,Batecok,Female,0.01,Yearly,1
101,Brian,Emmatt,Male,0.96,Seldom,0
102,Nike,Bukac,Female,-0.5,Once,0
103,Yule,Bolderson,Male,0.11,Daily,0
104,Dolph,Lynch,Male,0.61,Monthly,0
105,Quentin,Rotte,Female,0.64,Yearly,0
106,Bert,Stockin,Male,0.76,Monthly,0
107,Melessa,Charlick,Female,0.39,Weekly,0
108,Amye,Bergin,Female,0.82,Yearly,0
109,Audrie,Kenyam,Female,-0.29,Never,0
110,Tamqrah,Becker,Female,-0.05,Seldom,0
111,Xenos,Jeynes,Male,0.26,Daily,0
112,Luciana,Barraclough,Female,-0.04,Seldom,0
113,Charisse,Maddern,Female,1.58,Yearly,1
114,Johnnie,Limeburn,Male,0.2,Never,0
115,Carolin,Jereatt,Female,0.04,Yearly,0
116,Chadwick,Grundy,Male,0.6,Weekly,1
117,Winslow,Bentje,Male,0.01,Never,0
118,Frasier,Frigot,Male,0.53,Seldom,0
119,Rusty,Cardinale,Male,0.03,Never,1
120,Zackariah,Kellaway,Male,0.07,Daily,0
121,Walton,Lemoir,Male,1.3,Yearly,0
122,Jaime,Eskrick,Female,1.04,Yearly,0
123,Shannon,Corker,Male,0.67,Often,1
124,Francyne,Botwright,Female,0.32,Once,1
125,Jay,Glede,Male,0.43,Monthly,0
126,Phip,Kalberer,Male,0.1,Yearly,0
127,Omero,Maith,Male,0.83,Often,0
128,Melonie,Stearley,Female,0.27,Never,1
129,Mayor,Kilbee,Male,-0.06,Daily,0
130,Melisenda,Gyse,Female,-0.42,Often,0
131,Car,Bolstridge,Male,1.32,Weekly,0
132,Angeline,Peschet,Female,0.52,Weekly,0
133,Pancho,Bockmaster,Male,0.09,Daily,1
134,Kylie,Yokley,Female,0.2,Once,0
135,Bartholomeo,Robe,Male,0.59,Yearly,0
136,Tome,Blumire,Male,0.63,Weekly,0
137,Giffer,Lemin,Male,0.37,Yearly,0
138,Iris,Tagg,Female,1.07,Once,1
139,Ulrica,Finney,Female,0.7,Often,0
140,Gregoire,Oulner,Male,-0.32,Monthly,0
141,Brent,Newson,Male,0.52,Never,0
142,Siward,Bertson,Male,-0.28,Daily,0
143,Thayne,Shimuk,Male,0.23,Weekly,1
144,Ninetta,Soppeth,Female,1.35,Never,0
145,Patrica,Dorkin,Female,0.29,Weekly,1
146,Joli,Reyner,Female,0.7,Monthly,0
147,Ki,Francino,Female,0.19,Often,0
148,Fran,Akaster,Female,1.31,Often,1
149,Wells,Janes,Male,0.61,Seldom,0
150,Gale,Almak,Male,1.41,Weekly,0
151,Rea,Nangle,Female,1.19,Weekly,0
152,Kylie,Bockin,Female,0.46,Yearly,1
153,Georgie,Reinisch,Male,0.63,Once,0
154,Quincey,Lopez,Male,-0.06,Daily,0
155,Jamaal,Sapauton,Male,1.76,Never,0
156,Dael,Reace,Female,0.13,Often,1
157,Merissa,Maybury,Female,1.54,Monthly,0
158,Justinian,Saunder,Male,0.55,Never,0
159,Glyn,Gabel,Female,0.85,Monthly,0
160,Lorettalorna,MacRinn,Female,0.74,Monthly,0
161,Felicity,Lafee,Female,0.13,Yearly,0
162,Harlan,Galiford,Male,1.34,Yearly,0
163,Maribel,Cassel,Female,0.31,Weekly,0
164,Garry,Le Provost,Male,0.34,Never,0
165,Kevina,Grabert,Female,0.52,Seldom,1
166,Tomasina,Draude,Female,0.11,Never,0
167,Crawford,McPartling,Male,0.44,Monthly,0
168,Davita,Wetter,Female,0.57,Yearly,0
169,Chuck,Lansberry,Male,0.66,Yearly,0
170,Shannah,Ipwell,Female,1.06,Daily,0
171,Catherina,Charles,Female,1.4,Seldom,0
172,Bobine,Jedrzej,Female,1.38,Often,0
173,Gabbi,Bowell,Female,1.17,Often,0
174,Gib,Fidelus,Male,1.1,Never,0
175,Deina,Haddleton,Female,0.32,Seldom,0
176,Johny,Colson,Male,1.01,Daily,0
177,Justine,Aikenhead,Female,-0.18,Yearly,0
178,Orly,Chimienti,Female,0.6,Often,0
179,Keith,Lynskey,Male,0.48,Yearly,0
180,Pauly,Bickmore,Male,-0.34,Seldom,0
181,Harp,Szymoni,Male,1.26,Seldom,0
182,Sosanna,MacDiarmond,Female,0.84,Once,0
183,Danyelle,Riteley,Female,-0.13,Yearly,0
184,Anthia,Vigne,Female,1.48,Daily,0
185,Guinna,Niesegen,Female,0.65,Yearly,0
186,Gottfried,Colville,Male,0.58,Yearly,0
187,Margret,Crannage,Female,1.07,Yearly,0
188,Gillan,Brimley,Female,0.08,Seldom,0
189,Danyette,Greene,Female,0.66,Often,0
190,Rosemary,Ferrierio,Female,-0.1,Seldom,0
191,Flossy,Starten,Female,0.87,Once,1
192,Grace,Le Blond,Male,1.05,Never,1
193,Pinchas,Aishford,Male,0.62,Daily,1
194,Glen,Derye-Barrett,Male,0.13,Often,0
195,Caresse,Adshed,Female,0.65,Weekly,0
196,Ellie,Acock,Female,1.28,Monthly,0
197,Zelma,Chasier,Female,0.63,Often,0
198,Jerry,Goodhay,Female,-0.47,Yearly,0
199,Page,Dumblton,Female,1.16,Once,0
200,Collette,Belliveau,Female,0.3,Yearly,0
201,Flss,Skocroft,Female,0.51,Weekly,0
202,Lannie,Feake,Male,0.9,Daily,0
203,Tove,Killbey,Female,0.04,Seldom,0
204,Shayla,Heam,Female,-0.2,Never,0
205,Preston,Giroldi,Male,0.13,Yearly,1
206,Benedikta,Holttom,Female,1.13,Never,1
207,Delcina,Dewberry,Female,0.87,Once,0
208,Joli,Terne,Female,0.97,Never,0
209,Emmalyn,Anderl,Female,0.7,Daily,1
210,Arlan,Lernihan,Male,1.42,Weekly,0
211,Elnora,Crass,Female,0.94,Yearly,1
212,Van,Ishchenko,Female,-0.47,Never,0
213,Say,Simmig,Male,-0.2,Daily,0
214,Fayette,Pharrow,Female,0.48,Seldom,0
215,Paulie,Brookwood,Female,0.48,Never,0
216,Henry,Brodnecke,Male,0.28,Yearly,0
217,Eliot,Ketchell,Male,0.93,Often,0
218,Tamqrah,Kernoghan,Female,0.78,Never,0
219,Suzy,Kingscott,Female,0.81,Never,1
220,Pernell,Rush,Male,0.35,Seldom,0
221,Lyn,Pirdue,Female,0.38,Yearly,1
222,Heriberto,Sillitoe,Male,0.37,Monthly,0
223,Cirstoforo,Wimpress,Male,1.6,Yearly,0
224,Corette,Nesbitt,Female,0.84,Monthly,0
225,Wandie,Sancto,Female,0.4,Once,0
226,Nealon,Baseley,Male,0.06,Weekly,1
227,Jamison,Rapport,Male,0.54,Never,1
228,Sig,Coom,Male,0.11,Daily,0
229,Morly,Menere,Male,0.24,Monthly,0
230,Nealy,Rex,Male,1.35,Yearly,1
231,Karlotta,Leupold,Female,0.88,Never,0
232,Roberto,Skyrm,Male,0.6,Often,0
233,Bernadette,Harwood,Female,0.59,Often,0
234,Stern,Rispen,Male,0.37,Yearly,0
235,Hollie,Letty,Female,-0.06,Often,1
236,Alexis,Patterfield,Female,0.22,Daily,0
237,Eadith,Borles,Female,0.21,Never,1
238,Rozalie,Pirrey,Female,1.61,Seldom,0
239,Gleda,Higbin,Female,0.35,Monthly,0
240,Vanessa,Blaxill,Female,0.56,Daily,0
241,Thatcher,Schorah,Male,0.91,Once,0
242,Katrina,Raincin,Female,-0.16,Yearly,0
243,Harlie,Jowsey,Female,0.51,Yearly,0
244,Codie,Hanham,Female,0.94,Monthly,1
245,Hobard,Polhill,Male,1.59,Once,0
246,Maddie,Robke,Female,0.67,Monthly,1
247,Janeen,Grund,Female,0.26,Once,0
248,Dewain,Todaro,Male,0.82,Monthly,0
249,Ernesto,Cutmare,Male,0.08,Seldom,0
250,Karl,Node,Male,-0.34,Daily,0
251,Svend,Sket,Male,0.45,Yearly,0
252,Gregorio,Boys,Male,0.82,Never,0
253,Paul,Midner,Male,1.16,Yearly,0
254,Irvine,Peerman,Male,-0.23,Seldom,0
255,Jackquelin,Hearson,Female,-0.15,Daily,0
256,Lexy,Earingey,Female,0.84,Never,0
257,Feliks,Copas,Male,0.56,Never,0
258,Martina,Costin,Female,0.7,Once,0
259,Charmain,Obray,Female,0.95,Yearly,0
260,Jody,Sarginson,Male,1.18,Monthly,0
261,Fairfax,Salvadori,Male,0.56,Daily,0
262,Ann,Chatelot,Female,-0.45,Monthly,0
263,Jennie,Birk,Female,0.37,Seldom,0
264,Miran,Relfe,Female,0.23,Daily,0
265,Nata,Creber,Female,0.27,Never,0
266,Bobinette,Raulin,Female,0.52,Once,0
267,Meade,Sadry,Male,0.65,Never,0
268,Heidie,Fardy,Female,0.2,Often,0
269,Steward,Baddeley,Male,0.02,Once,0
270,Algernon,Oxtarby,Male,1.13,Weekly,0
271,Saundra,Bailie,Male,-0.2,Daily,0
272,Standford,Casbourne,Male,0.58,Yearly,0
273,Brand,Herley,Male,0.65,Daily,0
274,Ellen,Ramelot,Female,1.37,Seldom,0
275,Yardley,Polack,Male,1.09,Often,1
276,Raddy,McPhelim,Male,0.04,Seldom,1
277,Taber,Tattersall,Male,0.29,Seldom,1
278,Austin,McEachern,Female,0.38,Once,1
279,Granny,Creese,Male,1.32,Yearly,0
280,Bartholomew,Sillitoe,Male,1.14,Seldom,0
281,Nanci,Nutbean,Female,0.03,Weekly,0
282,Malory,Frango,Female,0.86,Seldom,0
283,Idalia,Izard,Female,0.67,Once,1
284,Nathaniel,Allot,Male,0.01,Once,0
285,Rodd,Niset,Male,-0.31,Yearly,0
286,Joeann,Matthiesen,Female,0.59,Weekly,1
287,Vlad,Kienzle,Male,-0.6,Monthly,0
288,David,Rosenblad,Male,0.05,Weekly,0
289,Carlyle,Bortolussi,Male,0.15,Yearly,0
290,Guglielmo,Phettis,Male,-0.08,Yearly,0
291,Giraldo,Warriner,Male,0.34,Yearly,1
292,Sax,Chaney,Male,1.11,Never,0
293,Lilyan,Saulter,Female,0.05,Seldom,0
294,Jemmy,Barus,Female,0.36,Seldom,1
295,Samuele,Adolf,Male,0.02,Monthly,0
296,Eba,Schuricke,Female,0.23,Often,0
297,Drusie,Fellibrand,Female,1.38,Monthly,0
298,Johnath,Skippings,Female,-0.15,Daily,0
299,Kyle,Rowantree,Female,0.39,Never,0
300,Lonni,McNeachtain,Female,0.15,Weekly,0
301,Levey,Tigwell,Male,0.88,Weekly,0
302,Bentlee,Sleany,Male,-0.48,Often,1
303,Marie-jeanne,Crumb,Female,0.76,Monthly,0
304,Dolf,Wiburn,Male,0.5,Yearly,0
305,Monique,Simes,Female,0.59,Yearly,0
306,Northrop,Alsopp,Male,0.18,Often,1
307,Arden,Yepiskopov,Female,0.42,Never,0
308,Darlleen,Lindberg,Female,0.59,Daily,0
309,Greggory,Rolley,Male,1.59,Weekly,0
310,Glennis,Fausset,Female,0.61,Monthly,0
311,Modesty,Filipyev,Female,0.9,Once,0
312,Barbie,Perez,Female,-0.07,Often,0
313,Quinn,McAughtrie,Male,-0.07,Weekly,0
314,Lalo,Hobell,Male,0.38,Once,0
315,Rhodia,Annon,Female,-0.15,Weekly,0
316,Crichton,Ledward,Male,0.69,Daily,0
317,Cathrin,Crosfield,Female,0.87,Seldom,0
318,Brianne,Depka,Female,0.71,Weekly,0
319,Elmer,Hune,Male,-0.22,Seldom,0
320,Salvatore,Tribbeck,Male,0.91,Weekly,0
321,Erroll,Syddon,Male,0.02,Daily,0
322,Sybil,McCaughen,Female,0.28,Daily,0
323,Gianni,Rowler,Male,-0.01,Once,0
324,Mata,Reinbach,Male,-0.39,Often,0
325,Fraze,Lipscombe,Male,0.96,Daily,0
326,Armstrong,Charlet,Male,0.71,Often,0
327,Saunders,Shill,Male,0.72,Never,0
328,Yetta,Minchenton,Female,0.52,Seldom,0
329,Welbie,Meiningen,Male,0.06,Never,0
330,Creight,Mundle,Male,0.68,Once,0
331,Gorden,Orfeur,Male,0.13,Often,0
332,Chase,Haycox,Male,-0.07,Weekly,0
333,Marlena,Bolger,Female,1.08,Monthly,0
334,Reina,Pawelke,Female,0.54,Often,0
335,Abba,Rheam,Male,0.78,Often,0
336,Nadya,Hernik,Female,0.54,Once,0
337,Nannie,Gresham,Female,0.4,Monthly,0
338,Arleen,Sacks,Female,0.4,Often,1
339,Brody,Urch,Male,0.43,Daily,0
340,Mead,Tefft,Male,0.65,Yearly,0
341,Eldin,Evangelinos,Male,1.3,Once,0
342,David,Mullarkey,Male,-0.06,Never,0
343,Anabal,Brundall,Female,0.37,Yearly,1
344,Bogey,Youster,Male,0.73,Often,0
345,Sela,Clemmen,Female,0.58,Often,0
346,Tomi,Lyall,Female,0.41,Often,0
347,Dolf,Kirvin,Male,0.63,Weekly,0
348,Karoly,Menendez,Male,-0.07,Daily,0
349,Burty,Varian,Male,0.17,Monthly,1
350,Suzette,Hercules,Female,0.1,Weekly,0
351,Mattias,Neggrini,Male,-0.76,Monthly,0
352,Lishe,Farland,Female,0.88,Often,0
353,Maud,Trivett,Female,0.59,Seldom,0
354,Lucy,Sentance,Female,-0.41,Never,0
355,Lanie,Tinkler,Female,0.11,Monthly,0
356,Woodie,Grimston,Male,0.76,Never,0
357,Denna,Blastock,Female,0.67,Seldom,1
358,Milli,Heard,Female,0.25,Often,0
359,Goran,Quarton,Male,0.98,Monthly,0
360,Adelind,Sandeford,Female,0.52,Daily,0
361,Gloriane,Croxton,Female,0.63,Often,0
362,Flossy,Statefield,Female,1.76,Never,0
363,Kelby,Vickers,Male,-0.07,Daily,1
364,North,Glowacha,Male,-0.07,Often,0
365,Joyan,Pfertner,Female,0.59,Never,0
366,Gaston,Stuttard,Male,0.91,Monthly,0
367,Nelly,Batho,Female,0.24,Never,1
368,Sauncho,Manes,Male,0.64,Once,0
369,Filide,Rawles,Female,0.52,Once,0
370,Carissa,Geffen,Female,0.41,Seldom,0
371,Wendel,Swafield,Male,0.83,Daily,1
372,Laurie,Kores,Male,1.18,Never,0
373,Kari,Etridge,Female,0.65,Yearly,0
374,Arlette,Poynser,Female,0.61,Once,1
375,Berta,McCarter,Female,0.43,Often,0
376,Page,Cancellario,Male,1.12,Never,0
377,Sal,Tibbles,Male,-0.08,Yearly,0
378,Quinta,Cantle,Female,0.51,Once,0
379,Aaron,Ludlamme,Male,0.63,Never,0
380,Lauree,Letten,Female,0.36,Monthly,0
381,Ruddie,Kieran,Male,-0.46,Yearly,0
382,Annissa,Paynes,Female,0.21,Often,0
383,Artemas,Stollsteimer,Male,-1.25,Never,0
384,Daune,Bonifacio,Female,0.85,Monthly,1
385,Hew,Shadrack,Male,-0.35,Often,0
386,Kimmie,Worthing,Female,0.36,Yearly,0
387,Karmen,Plinck,Female,-0.1,Daily,0
388,Alexandros,Santacrole,Male,-0.06,Daily,0
389,Martyn,Worsall,Male,0.6,Often,0
390,Chalmers,Tue,Male,0.32,Yearly,0
391,Laurie,Rijkeseis,Female,-0.12,Often,1
392,Sander,Maris,Male,1.29,Weekly,0
393,Ivonne,Swayne,Female,-0.72,Once,1
394,Vonny,Doodson,Female,0.73,Seldom,0
395,Nola,Lubbock,Female,0.52,Seldom,0
396,Keen,Hampshire,Male,-0.03,Weekly,0
397,Willie,Debnam,Male,0.03,Daily,0
398,Kaile,Lamlin,Female,-0.66,Yearly,0
399,Fawne,Girardey,Female,0.85,Often,0
400,Gussi,Spalding,Female,1.24,Often,0
401,Nettie,Steffan,Female,0.64,Never,0
402,Gris,Duer,Male,-0.08,Once,0
403,Martino,Humburton,Male,0.04,Often,0
404,Aldus,Gabrieli,Male,-0.15,Monthly,0
405,Kenyon,Marrett,Male,1.23,Often,0
406,Clerkclaude,Crecy,Male,-0.38,Never,0
407,Husain,Kelshaw,Male,1.22,Never,0
408,Othella,Dimitriades,Female,0.08,Weekly,0
409,Freddy,Place,Male,0.21,Weekly,0
410,Felicio,Chritchlow,Male,0.15,Monthly,0
411,Valerye,Golton,Female,0.97,Once,1
412,Frieda,Surtees,Female,-0.42,Monthly,0
413,Robbin,Dow,Female,1.06,Seldom,1
414,Gordon,Lancley,Male,0.91,Monthly,0
415,Marysa,Soigoux,Female,1.39,Weekly,0
416,Shepard,Tuerena,Male,0.47,Weekly,0
417,Samuele,Emanuel,Male,0.51,Weekly,0
418,Roderic,Wadmore,Male,0.47,Daily,0
419,Lyda,Kunkel,Female,0.45,Often,0
420,Annemarie,Stockey,Female,0.27,Never,0
421,Lian,Quested,Female,0.09,Seldom,0
422,Hannie,Paske,Female,1.18,Never,0
423,Omero,Gerardeaux,Male,0.36,Never,0
424,Olvan,Labrow,Male,0.94,Never,0
425,Suellen,Lindwall,Female,-0.46,Yearly,0
426,Collen,Cheeke,Female,-0.41,Never,0
427,Ray,Ponnsett,Female,0.67,Seldom,0
428,Bradford,Von Welldun,Male,0.23,Never,0
429,Britt,Thame,Male,0.23,Yearly,0
430,Chris,Bridgewood,Female,0.25,Once,0
431,Fionna,Jan,Female,0.34,Weekly,0
432,Alphard,Shoemark,Male,0.72,Seldom,0
433,Angele,Dranfield,Female,0.42,Daily,1
434,Jorgan,Leades,Male,0.26,Daily,0
435,Cyndi,Gerrell,Female,0.83,Monthly,0
436,Lurline,Kesteven,Female,0.52,Never,0
437,Sheffie,Nitti,Male,0.47,Yearly,0
438,Robers,Smitten,Male,0.31,Monthly,1
439,Gianina,Birrane,Female,0.71,Monthly,1
440,Coretta,Middle,Female,0.75,Monthly,0
441,Vic,Rutherforth,Male,0.36,Often,0
442,Luise,Felmingham,Female,0.87,Never,1
443,Ric,Macer,Male,1.43,Seldom,0
444,Cornelius,Hischke,Male,0.87,Daily,0
445,Erin,D'Alwis,Female,0.82,Never,0
446,Jaymie,LAbbet,Male,0.6,Weekly,1
447,Dulcea,Meddings,Female,0.87,Daily,0
448,Ximenes,Meighan,Male,0.46,Monthly,0
449,Tommie,Schoffel,Male,1.08,Often,0
450,Ruperto,Chelsom,Male,-0.04,Weekly,0
451,Alecia,Tarborn,Female,1.47,Yearly,0
452,Larisa,McIlhone,Female,-0.16,Yearly,0
453,Nat,Billo,Female,-0.51,Often,0
454,Izaak,Normabell,Male,0.4,Never,0
455,Karon,Bote,Female,0.67,Never,0
456,Garreth,Shoosmith,Male,1.05,Monthly,1
457,Alvis,Franchyonok,Male,0.75,Monthly,0
458,Titus,Michallat,Male,0.45,Monthly,0
459,Lorna,Sappy,Female,1.3,Once,0
460,Allina,Lee,Female,0.76,Monthly,0
461,Colleen,Fillingham,Female,0.04,Seldom,0
462,Angeline,Stentiford,Female,0.58,Once,0
463,Agustin,O'Lenechan,Male,0.66,Never,0
464,Renaldo,Longmead,Male,1.2,Once,0
465,Davide,Haley,Male,0.39,Daily,0
466,Giuditta,Dyter,Female,1.29,Often,0
467,Jordon,Spacy,Male,0.64,Often,0
468,Graehme,Mather,Male,0.33,Seldom,0
469,Emmy,Zamora,Female,0.54,Monthly,0
470,Ibbie,Shillinglaw,Female,-0.36,Monthly,0
471,Lorna,Hawkeswood,Female,0.6,Never,0
472,Harald,Normanvell,Male,0.05,Yearly,1
473,Niel,Lissandrini,Male,0.01,Monthly,0
474,Zonnya,Upstone,Female,-0.45,Daily,0
475,Steffane,Hillburn,Female,0.28,Weekly,0
476,Noelyn,Paniman,Female,0.21,Seldom,0
477,Adham,Hakewell,Male,0.18,Never,1
478,Uri,Prudence,Male,0.73,Weekly,0
479,Jan,Crann,Male,1.05,Yearly,0
480,Ronni,Causbey,Female,0.72,Monthly,0
481,Bartram,McGlue,Male,0.07,Yearly,0
482,Quillan,Malter,Male,0.42,Seldom,0
483,Allegra,Maciejak,Female,0.9,Seldom,0
484,Geneva,Delamar,Female,-0.04,Once,0
485,Sherrie,Stallan,Female,-0.07,Never,0
486,Diego,Cudmore,Male,0.53,Often,0
487,Romonda,Robottom,Female,0.23,Often,0
488,Dmitri,Frazier,Male,0.49,Never,0
489,Silvio,Yakolev,Male,1.23,Never,0
490,Yuma,Ruprich,Male,0.7,Weekly,0
491,Jerri,Critzen,Male,1.38,Weekly,1
492,Rinaldo,Ibotson,Male,-0.04,Seldom,0
493,Nathanael,Ramsay,Male,-0.21,Daily,1
494,Saloma,Farmer,Female,0.31,Monthly,0
495,Jecho,Hulke,Male,0.06,Once,0
496,Chiquia,Gero,Female,0.44,Daily,0
497,Rutter,Fouch,Male,0.69,Often,0
498,Desiri,Kunisch,Female,0.97,Weekly,0
499,Mame,Gittis,Female,0.04,Seldom,0
500,Leonelle,Caley,Female,0.4,Monthly,0
501,Rea,Ould,Female,0.07,Once,0
502,Candida,Blackney,Female,0.22,Weekly,0
503,Horacio,Fesby,Male,0.86,Often,0
504,Cherry,Antoszczyk,Female,0.57,Often,0
505,Cletus,Drewet,Male,1.5,Once,0
506,Sonnie,Byrde,Male,0.23,Seldom,0
507,Ellsworth,Hanbidge,Male,0.7,Monthly,0
508,Symon,Caurah,Male,0.58,Never,0
509,Clyve,Worstall,Male,1.13,Monthly,0
510,Devi,Ruppel,Female,0.18,Once,0
511,Dugald,Esilmon,Male,0.35,Never,0
512,Cob,Sweetenham,Male,0.74,Seldom,0
513,Seumas,Blainey,Male,0.42,Often,0
514,Brandi,Eglin,Female,0.31,Monthly,0
515,Greta,McNally,Female,0.63,Weekly,1
516,Holly,Evreux,Female,1.52,Weekly,0
517,Darn,McCritichie,Male,-0.22,Never,0
518,Jaine,Toogood,Female,-0.12,Never,0
519,Emlyn,Spencer,Male,0.33,Yearly,0
520,Obidiah,Leeburne,Male,0.46,Often,1
521,Dolly,Prangley,Female,0.37,Daily,1
522,Bea,Climpson,Female,0.57,Monthly,0
523,Ree,Houseley,Female,0.84,Yearly,0
524,Neysa,Jowle,Female,0.35,Yearly,1
525,Rufe,Forlong,Male,0.49,Never,0
526,Bradly,Gascard,Male,0.23,Yearly,0
527,Cindra,Camilletti,Female,0.11,Never,0
528,Arther,Paprotny,Male,0.75,Yearly,0
529,Filmore,Gavigan,Male,1.0,Yearly,0
530,Cloris,Ovesen,Female,1.06,Weekly,0
531,Whitney,Kennifick,Female,0.99,Weekly,0
532,Jaimie,Sketch,Male,1.06,Monthly,0
533,Rickard,Osanne,Male,1.18,Weekly,0
534,Brandy,Snozzwell,Female,-0.07,Monthly,0
535,Danika,Duthie,Female,0.63,Yearly,1
536,Davidde,Pleasants,Male,0.94,Once,0
537,Kelley,Musson,Female,1.13,Weekly,1
538,Ara,Glisane,Female,0.54,Daily,1
539,Ganny,Vedenichev,Male,-0.04,Yearly,0
540,Pembroke,Podd,Male,1.15,Weekly,0
541,Frieda,Annwyl,Female,-0.08,Never,0
542,Berget,Smithin,Female,-0.04,Once,0
543,Nikolaos,Croci,Male,0.4,Yearly,0
544,Lind,Dixey,Male,0.68,Yearly,0
545,De witt,Dabinett,Male,0.84,Once,0
